Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Date Added
2019 novel coronavirus (2019-nCoV) outbreak: A new challenge,"Lupia, T.; Scabini, S.; Mornese Pinna, S.; Di Perri, G.; De Rosa, F. G.; Corcione, S.","OBJECTIVES: Following the public-health emergency of international concern (PHEIC) declared by the World Health Organization (WHO) on 30 January 2020 and the recent outbreak caused by 2019 novel coronavirus (2019-nCoV) [officially renamed severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)] in China and 29 other countries, we aimed to summarise the clinical aspects of the novelBetacoronavirus disease (COVID-19) and its possible clinical presentations together with suggested therapeutic algorithms for patients who may require antimicrobial treatment. METHODS: The currently available literature was reviewed for microbiologically confirmed infections by 2019-nCoV or COVID-19 at the time of writing (13 February 2020). A literature search was performed using the PubMed database and Cochrane Library. Search terms included 'novel coronavirus' or '2019-nCoV' or 'COVID-19'. RESULTS: Published cases occurred mostly in males (age range, 8-92 years). Cardiovascular, digestive and endocrine system diseases were commonly reported, except previous chronic pulmonary diseases [e.g. chronic obstructive pulmonary disease (COPD), asthma, bronchiectasis] that were surprisingly underreported. Fever was present in all of the case series available, flanked by cough, dyspnoea, myalgia and fatigue. Multiple bilateral lobular and subsegmental areas of consolidation or bilateral ground-glass opacities were the main reported radiological features of 2019-nCoV infection, at least in the early phases of the disease. CONCLUSION: The new 2019-nCoV epidemic is mainly associated with respiratory disease and few extrapulmonary signs. However, there is a low rate of associated pre-existing respiratory co-morbidities.",2020,,Journal of global antimicrobial resistance,21,,22-27,32156648,10.1016/j.jgar.2020.02.021,13772,#12608,Lupia 2020,,"* Systematic review; Clinical aspects, diagnosis, treatment",24-03-20
Recommendations for the regulation of medical practices of burn treatment during the outbreak of the coronavirus disease 2019,"MA, Siyuan; YUAN, Zhiqiang; PENG, Yizhi; LUO, Qizhi; SONG, Huapei; XIANG, Fei; TAN, Jianglin; ZHOU, Junyi; LI, Ning; HU, Gaozhong; LUO, Gaoxing","2019 novel coronavirus (2019-nCoV) is one of the beta coronaviruses and was identified as the pathogen of the severe &quot;coronavirus disease 2019 (COVID-19)&quot; in 2019. China has formally included the 2019-nCoV in the statutory notification and control system for infectious diseases according to the &lt;italic&gt;Law of the People&amp;apos;s Republic of China on the Prevention and Treatment of Infectious Diseases&lt;/italic&gt;. Currently, the national defending actions on the 2019-nCoV in China is in a critical period. Burn Department is also confronted with risk of infection by the 2019-nCoV. According to&lt;italic&gt; the guidelines on the diagnosis and treatment of COVID-19 (6&lt;sup&gt;th&lt;/sup&gt; trial edition)&lt;/italic&gt;, the latest relative literature at home and abroad, the features of the COVID-19, recommendations for the COVID-19 prevention and control issued by the National Health Commission of China, and management experience of diagnosis and treatment in the related disciplines, we put forward recommendations for the medical practices of burn treatment during the outbreak of the COVID-19 in outpatient and emergency treatment, inpatient treatment, operation and ward management, etc. We hope these recommendations could benefit the professionals of the same occupation as us and related hospital managers, improve the treatment of burn during the outbreak of the COVID-19, and avoid or reduce the risk of infection of medical staff .",2020,,Chinese Journal of Burns,36,0,E004-E004,,,12799,#11791,MA 2020,,* Opinion piece; Infection prevention and control,24-03-20
"The impending storm: COVID-19, pandemics and our overwhelmed emergency departments","Mareiniss, Darren P.","Previously, I have written about the national crisis in emergency care [1]. As many of us know, emergency departments (EDs) are being overwhelmed by untenable patient volumes and care requirements. As my prior article titled “A Brewing Storm: Our Overwhelmed Emergency Departments” noted, this problem has been well known for many years and, yet, generally ignored by the lay press and public [1]. In 2006, fourteen years ago, the Institute of Medicine (IOM) warned of this in a report titled “Hospital-Based Emergency Care: At the Breaking Point.” In that report, the IOM noted that EDs were already overwhelmed and that our patient visits per year were significantly increasing [2]. The report stated that patient visits from 1993 to 2003 had grown from 90.3 million per year to 113.9 million per year [2]. Also, the number of EDs had actually decreased and the patients being seen were reportedly sicker [2]. Disaster preparedness was a significant concern and the report noted that most city hospitals were operating at or near capacity and even a multiple car crash would create havoc in most of these EDs [2]. In the years since that report, our volumes have continued to climb. In 2017, a National Hospital Ambulatory Medical Care survey reported ED patient visits reached over 138 million in that year [3]. That was a 21% increase from 113.9 million visits in 2003 and an average annual growth of 1.7% per year. That number represents 42.8% of the entire U.S. population of 329 million [4]. These high volumes and the resulting crowding in the ED do and continue to compromise care. Of note, prior studies have shown that ED crowding is linked to increased patient mortality, decreased patient satisfaction and treatment delays [[5], [6], [7]]. In addition to the daily crowding issues, U.S. disaster preparedness is currently in poor condition. The ED is the frontline medical response to any disaster and, yet, it is already stretched to its limit. Currently, one of the federal government's strategies to deal with a potentially overwhelming catastrophic disaster that outstrips resources is to engage in “crisis standards of care” [8,9]. That is, if overwhelmed, the federal government has advised states to create guidelines for hospitals to allocate scarce resources to save the greatest number of lives [8,9]. Such strategies are to be utilized in only the most dire of situations (e.g., severe pandemic, catastrophic event) in which medical resources are completely outstripped. Our current problem with ED volumes predisposes the system to cross this threshold during a disaster.[truncated]",2020,,The American Journal of Emergency Medicine,,,,,10.1016/j.ajem.2020.03.033,12501,#11792,Mareiniss 2020,,"* Opinion piece; Ethics, social science, economics",24-03-20
[Not Available],"Matter, M.",,2020,,Revue medicale suisse,16,681,340,32049463,,13608,#12660,Matter 2020,,Awaiting classification,24-03-20
More than 80 clinical trials launch to test coronavirus treatments,"Maxmen, A.",,2020,,Nature,578,7795,347-348,32159805,10.1038/d41586-020-00444-3,13160,#12662,Maxmen 2020,,"* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment",24-03-20
"Doctors and Healthcare Workers at Frontline of Covid 19 Epidemic: Admiration, A Pat on the Back, and Need for Extreme Caution","Misra, Anoop","Dr Li Wenliang (China), an ophthalmologist in Wuhan General Hospital, was a hero in more ways than one. He was first to warn about possible outbreak of Severe Acute Respiratory Syndrome (SARS) like illness (later termed as Coronavirus Disease-2019 or Covid-19), faced opposition from authorities, and later died on 7th February 2020 after treating patients of Covid-19 admitted in intensive Care Unit (ICU). As I write this, 40 days later, Pandemic is raging, and other doctors have died or are critically sick (1). But all is not bad news, heroic efforts doctors in Wuhan have contained the epidemic, permitting many physicians to leave this virus-ravaged city for the first time, but not before posing for a picture in which they are all cheering in complete personal protection equipment (PPE, see figure 1) (2).",2020,,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,10.1016/j.dsx.2020.03.006,12490,#11793,Misra 2020,,"* Opinion piece; Ethics, social science, economics",24-03-20
Use of antiviral drugs to reduce COVID-19 transmission,"Mitjà, Oriol; Clotet, Bonaventura",,2020,,,,,,,10.1016/S2214-109X(20)30114-5,12481,#11794,Mitjà 2020,,"Clinical aspects, diagnosis, treatment; Ongoing study",24-03-20
Is There a Role for Tissue Plasminogen Activator (tPA) as a Novel Treatment for Refractory COVID-19 Associated Acute Respiratory Distress Syndrome (ARDS)?,"Moore, Hunter B.; Barrett, Christopher D.; Moore, Ernest E.; McIntyre, Robert C.; Moore, Peter K.; Talmor, Daniel S.; Moore, Frederick A.; Yaffe, Michael B.",,2020,,Journal of Trauma and Acute Care Surgery,Publish Ahead of Print,,,01586154-900000000-97967,10.1097/ta.0000000000002694,12546,#11795,Moore 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",24-03-20
"Public Health Responses to COVID-19 Outbreaks on Cruise Ships — Worldwide, February–March 2020","Moriarty LF, Plucinski MM, Marston BJ, et al., Centers for Disease Control and Prevention (CDC)","What is already known about this topic? Cruise ships are often settings for outbreaks of infectious diseases because of their closed environment and contact between travelers from many countries. What is added by this report? More than 800 cases of laboratory-confirmed COVID-19 cases occurred during outbreaks on three cruise ship voyages, and cases linked to several additional cruises have been reported across the United States. Transmission occurred across multiple voyages from ship to ship by crew members; both crew members and passengers were affected; 10 deaths associated with cruise ships have been reported to date. What are the implications for public health practice? Outbreaks of COVID-19 on cruise ships pose a risk for rapid spread of disease beyond the voyage. Aggressive efforts are required to contain spread. All persons should defer all cruise travel worldwide during the COVID-19 pandemic.",2020,,Morbidity and Mortality Weekly Report (MMWR),,,,,,12543,#11796,Moriarty 2020,,* Narrative review; Epidemiology; Infection prevention and control,24-03-20
[Not Available],"Nau, J. Y.",,2020,,Revue medicale suisse,16,681,336-337,32049461,,13187,#13219,Nau 2020,,Awaiting classification,24-03-20
Retrospective study of low-to-moderate dose glucocorticoids on viral clearance in patients with novel coronavirus pneumonia,"NI, Qin; DING, Cheng; LI, Yongtao; ZHAO, Hong; LIU, Jun; ZHANG, Xuan; CHEN, Yanfei; GUO, Yongzheng; YU, Liang; JU, Hongzhen; TAO, Jingjing; YI, Ping; LANG, Guanjing; SU, Junwei; SHI, Ding; WU, Wenrui; WU, Xiaoxin; YU, Ling; SHENG, Jifang; XU, Kaijin","To study the effect of&nbsp;low-to-moderate dose glucocorticoid therapy on viral clearance time in patients with COVID-19.;;Methods;A total of 72 patients diagnosed with COVID-19 from January 19 to February 17, 2020 at the First Affiliated Hospital, School of Medicine, Zhejiang University were recruited. All patients received oral abidol and/or combined lopinavir/ritonavir, darunavir antiviral, and symptomatic supportive care. Among them, 51 patients received methylprednisolone (0.75-1.50 mg&middot;kg&lt;sup&gt;-1&lt;/sup&gt;&middot;d&lt;sup&gt;-1&lt;/sup&gt;) (glucocorticoid treatment group), and 21 patients who did not use glucocorticoid were the control group. The time of stable virologic conversion insputumand the time of radiologic recovery in lungsince onset were compared between the two groups and among the normal patients.The Kruskal-Wallis test or Fisher exact test was used to compare the difference between groups.;;Results;The median ages of the glucocorticoid group and the control group were 52 [interquartile range (IQR):45, 62] years and 46 (IQR: 32, 56)years, and the differences were significant (&lt;italic&gt;P&lt;/italic&gt;&lt;0.05). The clinical conditions at hospital admission were different between the two groups (&lt;italic&gt;P&lt;/italic&gt;&lt;0.01). There were 52.0% critical ill patients in the glucocorticoid treatment group, compared to that of 71.4% normal patients in the control group. The median times from the onset tostable virologic conversion to negative in the two groups were 15 (IQR:13,20) days and 14 (IQR:12,20) days (&lt;italic&gt;P&lt;/italic&gt;&gt;0.05), and the difference was no statistically significant. The median times from onset to radiologic recovery were 13 (IQR: 11,15) days and 13 (IQR:12,17) days in the two groups, and there was no difference (&lt;italic&gt;P&lt;/italic&gt;&gt;0.05). In ordinary patients, the median timesfrom the onset tostable virologic conversion insputum were no difference (&lt;italic&gt;P&lt;/italic&gt;&gt;0.05), with 13 (IQR:11,18) days in the glucocorticoid group and 13 (IQR:12,15) days in the control group; The median times from onset to radiologic recovery in lungwere also no difference (&lt;italic&gt;P&lt;/italic&gt;&gt;0.05), with 12 (IQR: 10,15)days in the glucocorticoid group and 13 (IQR: 12,17) days inthe control group.;;Conclusions;Low-to-moderate glucocorticoid treatment has no effect on the time of virus clearance in patients with different clinical types of COVID-19. The glucocorticoid is not recommended since no effectiveness on accelerating the improvement of radiologic recovery in lung has been observed. ;",2020,,Chinese Journal of Clinical Infectious Diseases,13,0,E009-E009,,,12637,#11798,NI 2020,,"* Comparative study, RCT; Clinical aspects, diagnosis, treatment",24-03-20
First Pediatric Case of Coronavirus Disease 2019 in Korea,"PARK, Ji Young; HAN, Mi Seon; PARK, Kyoung Un; KIM, Ji Young; CHOI, Eun Hwa","The large outbreak of coronavirus disease 2019 (COVID-19) that started in Wuhan, China has now spread to many countries worldwide. Current epidemiologic knowledge suggests that relatively few cases are seen among children, which limits opportunities to address pediatric specific issues on infection control and the children's contribution to viral spread in the community. Here, we report the first pediatric case of COVID-19 in Korea. The 10-year-old girl was a close contact of her uncle and her mother who were confirmed to have COVID-19. In this report, we present mild clinical course of her pneumonia that did not require antiviral treatment and serial viral test results from multiple specimens. Lastly, we raise concerns on the optimal strategy of self-quarantine and patient care in a negative isolation room for children.",2020,,Journal of Korean Medical Science,35,11,124-,,,12625,#11800,PARK 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",24-03-20
"Practical experiences and suggestions on the eagle-eyed observer, a novel promising role for controlling nosocomial infection of the COVID-19 outbreak Machine Learning, COVID-19 (2019-nCoV), and multi-OMICS","Peng, J.; Ren, N.; Wang, M.; Zhang, G.; Tárnok, A.",,2020,,The Journal of hospital infection Cytometry. Part A : the journal of the International Society for Analytical Cytology,97,3,215-216,32142596,10.1016/j.jhin.2020.02.020 10.1002/cyto.a.23990,14280,#12717,Peng 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
Covid-19 mass testing facilities could end the epidemic rapidly,"Peto, Julian","In Editor’s Choice of 19 March Godlee mentions the urgent need for increased capacity to test frontline healthcare workers serologically to verify their immunity to the covid-19 virus.[1] Even more urgent is capacity for weekly viral detection in the whole UK population. This, together with intensive contact tracing, could enable the country to resume normal life immediately. The virus could only survive in those who are untested, and contact tracing would often lead to them. Within the tested population anyone infected would be detected within about a week (0 to 7 days plus sample transport and testing) of becoming infectious. Centrally organised facilities with the capacity to test the entire UK population weekly (in 6 days at 10 million tests per …",2020,,BMJ,368,,m1163-m1163,,10.1136/bmj.m1163,12440,#11806,Peto 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",24-03-20
[Infection with SARS-CoV-2 in pregnancy. Information and proposed care. CNGOF.],"Peyronnet, Violaine; Sibiude, Jeanne; Deruelle, Philippe; Huissoud, Cyril; Lescure, Xavier; Lucet, Jean-Christophe; Mandelbrot, Laurent; Nisand, Israel; Vayssière, Christophe; Yazpandanah, Yazdan; Luton, Dominique; Picone, Olivier","A new coronavirus (SARS-CoV-2) highlighted at the end of 2019 in China is spreading across all continents. Most often at the origin of a mild infectious syndrome, associating mild symptoms (fever, cough, myalgia, headache and possible digestive disorders) to different degrees, SARS-Covid-2 can cause serious pulmonary pathologies and sometimes death.Data on the consequences during pregnancy are limited. The first Chinese data published seem to show that the symptoms in pregnant women are the same as those of the general population. There are no cases of intrauterine maternal-fetal transmission, but cases of newborns infected early suggest that there could be vertical perpartum or neonatal transmission. Induced prematurity and cases of respiratory distress in newborns of infected mothers have been described.Pregnancy is known as a period at higher risk for the consequences of respiratory infections, as for influenza, so it seems important to screen for Covid-19 in the presence of symptoms and to monitor closely pregnant women.In this context of the SARS-Covid-2 epidemic, the societies of gynecology-obstetrics, infectious diseases and neonatalogy have proposed a French protocol for the management of possible and proven cases of SARS-Covid-2 in pregnant women. These proposals may evolve on a daily basis with the advancement of the epidemic and knowledge in pregnant women. Subsequently, an in-depth analysis of cases in pregnant women will be necessary in order to improve knowledge on the subject.",2020,,"Gynecologie, obstetrique, fertilite & senologie",,,,,10.1016/j.gofs.2020.03.014,12465,#11807,Peyronnet 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",24-03-20
Public practice，attitude and knowledge of coronavirus disease,"Qi, Ye; CHEN, Liu-huan; ZHANG, Li; YANG, Ying⁃ying; ZHAN, Si⁃yi; FU, Chuan⁃xi",Objective To analyze the status of knowledge; attitude and practice of the coronavirus disease;COVID-19;among the adults of 59 years old in China; and to provide scientific basis for corresponding health education strategies. Methods In the rapid development phrase of COVID-19; subjects from all provinces or municipalities of China were invited to participate in a quick questionnaire online survey on January 29th;2020. Results The effective response rate of completing questionnaire was 97.41%;3 083/3 165;. 98.54% of the subjects reported that they were very terrified. The main reasons included the high contagion;64.71%;and lack of effective treatments;19.92%; 94.45% of the subjects were concerned that they and their family members would be infected by the novel coronavirus. 99.42% knew that the virus could be transmitted from person to person; 97.89% and 93.87% knew that it could spread through respiratory tract and contact respectively;97.73% knew that patients without symptom could also be contagious;96.37% knew that persons in close contact to COVID-19 patient were required to be quarantined for at least 14 days of medical observation. 99.09% knew that the pathogen of this disease was novel coronavirus. 65.46% knew that both medical protective masks and surgical masks could prevent COVID-19 effectively. 99.68% had confidence in defeating COVID-19; and 85.86% believed that COVID-19 would be controlled within the next 3 months. Study subjects mainly obtained health information through WeChat 97%; or websites 82.06%. The proportions of the subjects who can cover mouth and nose when coughing or sneezing; avoid hand contacting with eyes; mouth or nose; practice hand hygiene; wear masks outside; avoid exposure to respiratory patients; and avoid the crowded were 89.85%; 85.44%; 95.13%; 96.89%; 92.18% and 96.27; respectively. Multivariate Logistic analysis showed that gender; OR=0.544; 95%CI; 0.440; 0.673; P&lt;0.001; age;OR=1.844;95%CI;1.466;2.320; P&lt;0.001;recognition; OR=2.200;95% CI;1.780 ; 2.718;P&lt;0.001; were associated with those good behaviors. Conclusion After the happened; the government and society&prime;s vigorous publicity to the public achieved good results. The public are highly concerned and have a high awareness of the knowledge of COVID-19. They adopt protective measures proactively. Females; middle taged; and individuals with insufficient recognition are likely under;protected. In the different epidemic stages of the emerging infectious disease;health education should be carried out to the public based on scientific evidences.,2020,,Journal of Tropical Medicine,20,2,145-149,,,12856,#11812,Qi 2020,,"* Opinion piece; Ethics, social science, economics",24-03-20
Experts’ conservative judgment and containment of COVID-19 in early outbreak,"Qi, Ye; Du, Coco Dijia; Liu, Tianle; Zhao, Xiaofan; Dong, Changgui",,2020,,Journal of Chinese Governance,,,Jan-20,,10.1080/23812346.2020.1741240,12508,#11813,Qi 2020,,* Opinion piece; Infection prevention and control,24-03-20
Severe acute respiratory syndrome coronavirus 2 and coronavirus disease 2019,"Qi, ZhongTian","The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has been confirmed as the etiological pathogen of the coronavirus disease 2019 (COVID-19). SARS-CoV-2 is the seventh member of coronavirus family that can infect humans after the emergence of the severe acute respiratory syndrome coronavirus (SARS-CoV) and the Middle East respiratory syndrome coronavirus (MERS-CoV). SARS-CoV-2 is a single-stranded, positive-sense RNA virus. Due to its strong infectiousness and the lack of immunity in humans, the epidemic of the COVID-19 is still spreading. On January 30, 2020 (local time), the World Health Organization (WHO) defined the epidemics of SARS-CoV-2-infected pneumonia as a Public Health Emergency of International Concern (PHEIC). This paper reviews the etiology and pathogenicity of SARS-CoV-2, and the detection and diagnosis, prevention and control, as well as the treatment of COVID-19.",2020,,Academic Journal of Second Military Medical University,41,2,117-121,,10.16781/j.0258-879x.2020.02.0117,12561,#11814,Qi 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",24-03-20
Predicting the angiotensin converting enzyme 2 (ACE2) utilizing capability as the receptor of SARS-CoV-2,"Qiu, Ye; Zhao, Yuan-Bo; Wang, Qiong; Li, Jin-Yan; Zhou, Zhi-Jian; Liao, Ce-Heng; Ge, Xing-Yi","SARS-CoV-2, the newly identified human coronavirus causing severe pneumonia epidemic, was probably originated from Chinese horseshoe bats. However, direct transmission of the virus from bats to humans is unlikely due to lack of direct contact, implying the existence of unknown intermediate hosts. Angiotensin converting enzyme 2 (ACE2) is the receptor of SARS-CoV-2, but only ACE2s of certain species can be utilized by SARS-CoV-2. Here, we evaluated and ranked the receptor-utilizing capability of ACE2s from various species by phylogenetic clustering and sequence alignment with the currently known ACE2s utilized by SARS-CoV-2. As a result, we predicted that SARS-CoV-2 tends to utilize ACE2s of various mammals, except murines, and some birds, such as pigeon. This prediction may help to screen the intermediate hosts of SARS-CoV-2.",2020,,Microbes and infection,,,,,10.1016/j.micinf.2020.03.003,12466,#11817,Qiu 2020,,"Reservoir; Virology, immunology",24-03-20
Global coronavirus pandemic (2019-nCOV): Implication for an Italian medium size dermatological clinic of a ii level hospital,"Radi, G.; Diotallevi, F.; Campanati, A.; Offidani, A.","Abstract On December 31, 2019, from the Chinese city of Wuhan, Hubei, comes the first case of 'atypcal ARDS/ interstitial pneumonia'. On February 11, 2020 the WHO officially announced the new name of the pathology associated with the coronavirus: COVID-19 (Coronavirus Disease 2019). On February 13, 72000 cases have been recorded in China, of which 15000 in Hubei with 242 deaths in a single day. For this reason China put in place drastic containment measures for the virus spreading.",2020,,Journal of the European Academy of Dermatology and Venereology,n/a,n/a,,,10.1111/jdv.16386,12538,#11819,Radi 2020,,* Narrative review; * Opinion piece; Infection prevention and control,24-03-20
Identification of COVID-19 Can be Quicker through Artificial Intelligence framework using a Mobile Phone-Based Survey in the Populations when Cities/Towns Are Under Quarantine Public's early response to the novel coronavirus-infected pneumonia,"Rao, Asrs; Vazquez, J. A.; Zhan, S.; Yang, Y. Y.; Fu, C.",We are proposing to use machine learning algorithms to be able to improve possible case identifications of COVID-19 more quicker when we use a mobile phone-based web survey. This will also reduce the spread in the susceptible populations.,2020,,Infection control and hospital epidemiology Emerging microbes & infections,9,1,Jan-18,32122250,10.1017/ice.2020.61 10.1080/22221751.2020.1732232,14040,#12958,Rao 2020,,"Epidemiology; Ethics, social science, economics; Infection prevention and control",24-03-20
Evolutionary Trajectory for the Emergence of Novel Coronavirus SARS-CoV-2,"Rehman, Saif ur; Shafique, Laiba; Ihsan, Awais; Liu, Qingyou","Over the last two decades, the world experienced three outbreaks of coronaviruses with elevated morbidity rates. Currently, the global community is facing emerging virus SARS-CoV-2 belonging to Betacoronavirus, which appears to be more transmissible but less deadly than SARS-CoV. The current study aimed to track the evolutionary ancestors and different evolutionary strategies that were genetically adapted by SARS-CoV-2. Our whole-genome analysis revealed that SARS-CoV-2 was the descendant of Bat SARS/SARS-like CoVs and bats served as a natural reservoir. SARS-CoV-2 used mutations and recombination as crucial strategies in different genomic regions including the envelop, membrane, nucleocapsid, and spike glycoproteins to become a novel infectious agent. We confirmed that mutations in different genomic regions of SARS-CoV-2 have specific influence on virus reproductive adaptability, allowing for genotype adjustment and adaptations in rapidly changing environments. Moreover, for the first time we identified nine putative recombination patterns in SARS-CoV-2, which encompass spike glycoprotein, RdRp, helicase and ORF3a. Six recombination regions were spotted in the S gene and are undoubtedly important for evolutionary survival, meanwhile this permitted the virus to modify superficial antigenicity to find a way from immune reconnaissance in animals and adapt to a human host. With these combined natural selected strategies, SARS-CoV-2 emerged as a novel virus in human society.",2020,,"Pathogens 2020, Vol. 9, Page 240",9,3,240-240,,10.3390/PATHOGENS9030240,12444,#11983,Rehman 2020,,"Reservoir; Virology, immunology",24-03-20
An update on COVID-19 for the radiologist - A British society of Thoracic Imaging statement,"Rodrigues, J. C. L.; Hare, S. S.; Edey, A.; Devaraj, A.; Jacob, J.; Johnstone, A.; McStay, R.; Nair, A.; Robinson, G.","In December 2019, Wuhan City (Hubei Province, China) reported a febrile respiratory tract illness of unknown origin in a cluster of patients. Bronchoalveolar lavage of the patients isolated a novel strain of coronavirus (SARS-coronavirus-2 [SARS-CoV-2]) as the pathogen.1 The pulmonary infection caused by SARS-CoV-2 was named coronavirus disease 2019 (COVID-19) by the World Health Organization (WHO). As of 14 March 2020, the WHO reported 142,651 worldwide cases with 5,393 deaths.2 Despite the imposition of strict quarantine rules and restricted travel within and from China, the infection has spread rapidly affecting countries worldwide. It continues to escalate. As of 14 March 2020, 797 UK cases have been confirmed, with 10 deaths.3 Testing currently involves a laboratory test from swab samples obtained from the respiratory tract (most commonly a single nose and throat swab). The WHO currently classifies cases into three potential categories: (1) suspected, (2) probable, and (3) confirmed. Suspected cases are primarily those with a febrile respiratory illness and history of travel to a country or region reporting local transmission of COVID-19 disease during the 14 days prior to symptom onset. In the past few weeks, changes to diagnostic criteria (using imaging as an adjunct to real-time transcriptase polymerase chain reaction [RT-PCR]) has led to an increase in reported cases. Clinical presentation of COVID-19 The majority of patients present with a lower respiratory tract infection comprising fever, cough, dyspnoea, and myalgia. Although most patients have a mild illness, 17–29% of patients are reported to develop acute respiratory distress syndrome (ARDS).4,5 Mortality rates are estimated at 3.6%.6 An elevated C-reactive protein (CRP) and lymphopenia (<1,100 μ/L) are characteristic7 Radiology departments should be prepared for an increase in the number of cases of COVID-19 and new diagnoses or risk stratification may be imaging based. As such, it is important for radiologists to be familiar with the potential spectrum of imaging findings, as well as set out protocols to limit contamination and spread. Chest imaging findings in COVID-19 Initial findings Initial imaging with chest radiograph (CXR) and computed tomography (CT) may be normal in COVID-19. Disease severity and timing of imaging appear to impact on the rates of normal baseline imaging. In non-severe disease, up to 18% of patients have a normal initial CXR or CT, but only 3% in severe disease.8 In a series of 121 symptomatic patients, a normal CT was found in 56% of patients scanned within 2 days of symptom onset, whereas normal scans were observed in only 9% and 4% of patients if imaged 3–5 days or 6–12 days from symptoms, respectively.9 Therefore, radiographic abnormalities are almost certain to be present on CT following 6 days of symptoms. Furthermore, Shi et al. have reported radiological abnormality, predominantly ground-glass opacity (GGO), in subclinical disease, where 15 patients were imaged using CT before symptom onset.10 As such, the precise time when imaging becomes abnormal is heterogeneous and the disease should not be excluded based on a normal CT examination acquired early after symptom onset. When imaging is abnormal, there are some common features. CXR typically shows patchy or diffuse asymmetric airspace opacities, similar to other causes of coronavirus pneumonias.4 The most common initial CT findings of COVID-19 pneumonia are bilateral, subpleural GGO, ill-defined margins, and a slight right lower lobe predilection10; however, the initial imaging findings are not organism specific and can overlap with H1N1 influenza, cytomegalovirus pneumonia, and other atypical pneumonias11 Temporal evolution of findings With increased time between symptom onset and imaging, the pattern of radiological findings progresses from focal unilateral abnormality to diffuse bilateral opacities with evolution to consolidation, reticulation, and mixed-pattern disease involving more lung segments.10 The pattern of CT disease may have prognostic implications, with consolidation being reported in nearly all patients requiring intensive care unit (ICU) support and GGO in those not requiring ICU.5 “Crazy-paving” pattern and the “atoll” sign is also reported with greater time from symptom onset.9 In a cohort of 21 patients with COVID-19 who recovered, late-stage CT findings (14 days or longer) showed varying degrees of clearing but signs may persist for more than 1 month after initial detection.12 Uncommon imaging findings Imaging features that are only rarely encountered include pneumothorax, cavitation, or lymphadenopathy.13 Features such as pleural effusion, extensive tiny lung nodules, tree in bud, and lymphadenopathy may well suggest bacterial superinfection or an alternative diagnosis.14",2020,,Clinical Radiology,,,,,10.1016/j.crad.2020.03.003,12492,#11985,Rodrigues 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",24-03-20
Practical indications for the prevention and management of SARS-CoV-2 in ambulatory dialysis patients: lessons from the first phase of the epidemics in Lombardy,"Rombolà, Giuseppe; Hedemperger, Marco; Pedrini, Luciano; Farina, Marco; Aucella, Filippo; Messa, Piergiorgio; Brunori, Giuliano","Confronting the SARS-CoV-2 outbreak has allowed us to appreciate how efficiently highly-resourced settings can respond to crises. However even such settings are not prepared to deal with the situation, and lessons are only slowly being learnt. There is still an urgent need to accelerate protocols that lead to the implementation of rapid point-of-care diagnostic testing and effective antiviral therapies. In some high-risk populations, such as dialysis patients, where several individuals are treated at the same time in a limited space and overcrowded areas, our objective must be to ensure protection to patients, the healthcare team and the dialysis ward. The difficult Italian experience may help other countries to face the challenges. The experience of the Lombardy underlines the need for gathering and sharing our data to increase our knowledge and support common, initially experience-based, and as soon as possible evidence-based position to face this overwhelming crisis.",2020,,Journal of Nephrology,,,01-Apr,,10.1007/s40620-020-00727-y,12505,#11986,Rombolà 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
Aminoquinolines Against Coronavirus Disease 2019 (COVID-19): Chloroquine or Hydroxychloroquine Drive-Through Screening Center for COVID-19: a Safe and Efficient Screening System against Massive Community Outbreak,"Sahraei, Z.; Shabani, M.; Shokouhi, S.; Saffaei, A.; Kwon, K. T.; Ko, J. H.; Shin, H.; Sung, M.; Kim, J. Y.","As the coronavirus disease 2019 (COVID-19) outbreak is ongoing, the number of individuals to be tested for COVID-19 is rapidly increasing. For safe and efficient screening for COVID-19, drive-through (DT) screening centers have been designed and implemented in Korea. Herein, we present the overall concept, advantages, and limitations of the COVID-19 DT screening centers. The steps of the DT centers include registration, examination, specimen collection, and instructions. The entire service takes about 10 minutes for one testee without leaving his or her cars. Increased testing capacity over 100 tests per day and prevention of cross-infection between testees in the waiting space are the major advantages, while protection of staff from the outdoor atmosphere is challenging. It could be implemented in other countries to cope with the global COVID-19 outbreak and transformed according to their own situations.",2020,,International journal of antimicrobial agents Journal of Korean medical science,35,11,105945,32193904,10.1016/j.ijantimicag.2020.105945 10.3346/jkms.2020.35.e123,14181,#13010,Sahraei 2020,,"Clinical aspects, diagnosis, treatment",24-03-20
